Title,URL 
Letters  Home Office shambles is putting Ukrainian refugees’ lives at risk , https://www.theguardian.com/politics/2022/apr/25/home-office-shambles-is-putting-ukrainian-refugees-lives-at-risk 
Letters  Wimbledon cannot be faulted for banning Russian players , https://www.theguardian.com/sport/2022/apr/25/wimbledon-cannot-be-faulted-for-banning-russian-players 
Villarreal’s Francis Coquelin   
                 
                  
                  We’re not going there just to look at Anfield , https://www.theguardian.com/football/2022/apr/25/villarreals-francis-coquelin-were-not-going-there-just-to-look-at-anfield 
Tennis  WTA will not return to China in 2022 as resolution to Peng Shuai case sought , https://www.theguardian.com/sport/2022/apr/26/wta-will-not-return-to-china-in-2022-as-resolution-to-peng-shuai-case-sought 
'Once in a lifetime'  Guardiola urges City players to enjoy Real Madrid showdown , https://www.theguardian.com/football/2022/apr/25/guardiola-says-manchester-city-must-find-pleasure-in-real-madrid-showdown 
   
                   
                    
                    Rehashing police claims on Hillsborough is cruel and wrong , https://www.theguardian.com/football/2022/apr/25/rehashing-failed-police-claims-about-hillsborough-is-not-free-speech-it-is-cruel-and-wrong 
Golf  Mickelson requests PGA Tour release to play first Saudi-backed event , https://www.theguardian.com/sport/2022/apr/26/phil-mickelson-liv-golf-invitational-pga-tour 
Snooker  Robertson hits 147 break but loses thriller to Lisowski , https://www.theguardian.com/sport/2022/apr/25/snooker-world-championship-higgins-williams-osullivan-bingham-trump-robertson-lisowski 
Gymnastics  GB coach was pulled from squad over allegations of mistreatment  , https://www.theguardian.com/sport/2022/apr/25/gymnastics-coach-pulled-from-team-gb-squad-after-allegations-of-mistreatment 
Rugby union  Farrell ‘one of best ever’, claims Saracens teammate George , https://www.theguardian.com/sport/2022/apr/25/jamie-george-heaps-praise-on-incredible-saracens-captain-owen-farrell 
Environment  Too many new coal-fired plants planned for 1.5C climate goal, report concludes , https://www.theguardian.com/environment/2022/apr/26/too-many-new-coal-fired-plants-planned-for-15c-climate-goal-report-concludes 
Buildings  Drive for net zero fuels UK boom in retrofitting buildings for new use , https://www.theguardian.com/business/2022/apr/24/drive-for-net-zero-fuels-uk-boom-in-retrofitting-buildings-for-new-use 
South Africa  After the relentless rain, country sounds the alarm on the climate crisis , https://www.theguardian.com/world/2022/apr/24/south-africa-floods-rain-climate-crisis-extreme-weather 
‘Worst it’s ever been’  A threatened species alarm sounds during the election campaign – and is ignored , https://www.theguardian.com/environment/2022/apr/25/worst-its-ever-been-a-threatened-species-alarm-sounds-during-the-election-campaign-and-is-ignored 
Exclusive  Civil service head warns PM against forcing Whitehall workers back to office , https://www.theguardian.com/politics/2022/apr/25/civil-service-head-warns-pm-against-forcing-whitehall-workers-back-to-office 
HRT  Sajid Javid urged to relax law as women forced to travel miles for medication , https://www.theguardian.com/society/2022/apr/25/calls-to-relax-pharmacy-rules-amid-hrt-shortages-in-england 
Education  School leader retention rates in England declining, DfE data shows , https://www.theguardian.com/education/2022/apr/26/school-leader-retention-rates-in-england-declining-dfe-data-shows 
Hepatitis  Ten UK children require transplant amid surge in cases , https://www.theguardian.com/society/2022/apr/25/ten-uk-children-require-transplant-amid-surge-in-hepatitis-cases 
Education  Ofsted will step up early-years focus to address lockdown impact , https://www.theguardian.com/education/2022/apr/26/ofsted-will-step-up-early-years-focus-to-address-lockdown-impact 
Cost of living  Ministers ordered to find ‘non-fiscal’ solutions , https://www.theguardian.com/business/2022/apr/25/ministers-ordered-to-find-new-non-fiscal-ways-to-combat-cost-of-living 
Mental health  Private hospitals repeatedly criticised for unsafe care , https://www.theguardian.com/society/2022/apr/25/private-mental-health-hospitals-repeatedly-criticised-for-unsafe-care 
P&O Ferries  Unions call for boycott for allegedly paying below minimum wage , https://www.theguardian.com/business/2022/apr/26/unions-call-for-po-ferries-boycott-for-allegedly-paying-below-minimum-wage 
Prevent  David Cameron says government should defend its counter-extremism strategy , https://www.theguardian.com/politics/2022/apr/26/david-cameron-says-government-should-defend-its-counter-extremism-strategy 
Angela Rayner   Tory whips ‘asking questions’ to find MP behind claims , https://www.theguardian.com/politics/2022/apr/25/angela-rayner-sexism-misogyny-tory-whips 
US Capitol attack  Marjorie Taylor Greene texted Trump chief of staff urging martial law to overturn election , https://www.theguardian.com/us-news/2022/apr/26/marjorie-taylor-greene-texts-mark-meadows-martial-law-2020-election 
US  YouTuber deliberately crashed his own plane for views, aviation agency says , https://www.theguardian.com/technology/2022/apr/26/youtuber-deliberately-crashed-plane-for-views-faa 
'Mr Chiu’s ear fell off naturally'  Free media in Hong Kong almost completely dismantled – report  , https://www.theguardian.com/world/2022/apr/26/free-media-in-hong-kong-almost-completely-dismantled-report 
Coronavirus  China expands testing to almost all of Beijing’s 22 million residents , https://www.theguardian.com/world/2022/apr/26/china-expands-covid-testing-to-almost-all-of-beijings-22-million-residents 
Palm oil  Indonesian export ban sparks concern over global food prices , https://www.theguardian.com/world/2022/apr/26/indonesias-palm-oil-export-ban-sparks-concern-over-global-food-prices 
